,Country,Region,Year,Ladder,Log GDP,Social Supp,Life expectancy,Freedom,generosity,Corruption,Violence,Rate Beds,Rate Medical,Rate Nursing,Rate Dentists,poverty_gap,poverty_severity,gini
490,Finland,Western Europe,2008,7.671,10.796,0.951,70.08,0.934,0.028,0.217,1.445868373,65.7,37.422,122.029,7.556,0.0002188376385708528,0.00014751982627083675,0.2783820830831633
491,France,Western Europe,2018,6.666,10.727,0.921,73.8,0.816,-0.138,0.582,0.029155735,59.1,32.759,115.981,6.51,0.0001357141973977821,9.904918154976648e-05,0.3238068846338816
492,France,Western Europe,2017,6.635,10.711,0.931,73.6,0.834,-0.123,0.601,0.27907759,59.8,32.745,112.837,6.507,5.57156607628356e-05,3.644984835316592e-05,0.3163206541721507
493,France,Western Europe,2016,6.475,10.69,0.885,73.4,0.787,-0.091,0.623,-0.095359094,60.6,32.547,110.043,6.511,0.0005120075536762457,0.0004747031967591615,0.3192374408702032
494,France,Western Europe,2015,6.358,10.682,0.896,73.2,0.817,-0.139,0.641,0.106706373,61.3,32.395,107.019,6.463,0.0006274642023128228,0.0004007454672679933,0.3270433505694236
495,France,Western Europe,2014,6.467,10.674,0.878,73.0,0.803,-0.118,0.656,0.300568491,62.0,32.245,103.765,6.433,8.64177675166742e-05,6.053220914085458e-05,0.3226218403076247
496,France,Western Europe,2013,6.667,10.669,0.908,72.8,0.878,-0.125,0.699,0.448744118,62.8,32.091,100.692,6.456,0.0004806818984229344,0.0003967458237869212,0.3251263513038438
497,France,Western Europe,2012,6.649,10.669,0.937,72.6,0.841,-0.149,0.608,0.554941535,63.4,31.884,97.65,6.411,0.00025872051147619743,0.0001371549374474711,0.3311485874899623
498,France,Western Europe,2011,6.959,10.671,0.921,72.4,0.903,-0.102,0.627,0.602992833,63.6,31.715,93.524,6.399,3.281517143938809e-05,8.449370470853757e-06,0.3329475046048539
499,France,Western Europe,2010,6.798,10.654,0.943,72.2,0.85,-0.104,0.623,0.681087554,64.3,33.971,90.752,6.909,0.0004888908931695756,0.0003564061624929407,0.3372048148420893
500,France,Western Europe,2009,6.283,10.639,0.918,72.02,0.798,-0.082,0.654,0.512012899,66.6,33.937,88.323,6.944,0.00022687077142057827,0.00015213656221688232,0.3266126936717725
501,France,Western Europe,2008,7.008,10.674,0.935,71.84,0.833,-0.031,0.669,0.543759167,69.0,34.426,85.411,7.017,7.473316017985119e-05,7.226287388147159e-05,0.3299647681963964
503,Gabon,Sub-Saharan Africa,2017,4.782,9.616,0.807,59.2,0.652,-0.228,0.868,-0.10302484,,6.579,28.423,0.173,0.005801061825627,0.0023366829912169,0.380243722914563
512,Georgia,Western Asia,2018,4.659,9.565,0.617,64.5,0.775,-0.233,0.755,-0.44157356,,75.553,50.184,8.085,0.0153542392988166,0.0064175697944373,0.3641136308376174
513,Georgia,Western Asia,2017,4.451,9.517,0.59,64.7,0.821,-0.244,0.59,-0.370796114,,65.145,51.613,6.548,0.0162401113947442,0.0064352088404993,0.3793973310645744
514,Georgia,Western Asia,2016,4.448,9.47,0.533,64.9,0.606,-0.249,0.561,-0.31329149,,63.859,42.595,6.804,0.0122131993969175,0.004644234450437,0.3663964885392091
515,Georgia,Western Asia,2015,4.122,9.442,0.517,65.1,0.64,-0.205,0.502,-0.466081887,,53.414,42.871,6.547,0.0117355111149825,0.0044019951605824,0.3650367556914279
516,Georgia,Western Asia,2014,4.288,9.414,0.558,65.04,0.72,-0.233,0.416,-0.321507543,28.9,51.057,40.846,5.702,0.0160263183092234,0.0063642531770384,0.3755413441304889
517,Georgia,Western Asia,2013,4.349,9.371,0.559,64.98,0.722,-0.254,0.349,-0.441366166,25.9,48.278,40.462,5.325,0.0209109992870522,0.0082693873912568,0.385890191083294
518,Georgia,Western Asia,2012,4.254,9.332,0.533,64.92,0.659,-0.269,0.321,-0.680453956,25.3,47.931,39.762,5.281,0.0299913607543147,0.0127007416515305,0.3895476795094192
519,Georgia,Western Asia,2011,4.203,9.263,0.503,64.86,0.632,-0.255,0.353,-0.656951964,28.1,48.057,42.034,4.561,0.0427775790164803,0.0201762943753691,0.3959571569237258
520,Georgia,Western Asia,2010,4.102,9.184,0.54,64.8,0.558,-0.248,0.46,-0.718320906,29.9,47.506,42.199,3.276,0.0443321642582994,0.0203838099053283,0.3946146371777795
521,Georgia,Western Asia,2009,3.801,9.116,0.544,64.88,0.495,-0.233,0.535,-0.965524912,30.9,45.113,41.629,2.812,0.0367316997192526,0.0167667891095985,0.3823740323062768
522,Georgia,Western Asia,2008,4.156,9.144,0.608,64.96,0.614,-0.224,0.498,-0.919675112,32.1,42.712,42.042,3.008,0.0362312169087193,0.0159935667038478,0.3853485333499432
523,Georgia,Western Asia,2007,3.707,9.117,0.548,65.04,0.464,-0.267,0.697,-0.645898998,33.2,41.628,41.672,3.069,0.0419366676181379,0.0189364085964515,0.3811308229304199
524,Germany,Western Europe,2018,7.118,10.89,0.92,72.2,0.877,0.034,0.496,0.591275334,,43.114,118.099,8.579,0.0,0.0,0.3179068956052728
525,Germany,Western Europe,2017,7.074,10.878,0.892,71.9,0.841,0.145,0.414,0.587721467,80.0,42.505,113.768,8.569,0.0023371875127003,0.0022072359740182,0.3185134836560663
526,Germany,Western Europe,2016,6.874,10.858,0.906,71.6,0.871,0.148,0.446,0.681363404,80.6,41.874,111.501,8.56,0.0,0.0,0.3139068157633466
527,Germany,Western Europe,2015,7.037,10.844,0.926,71.3,0.889,0.178,0.412,0.699824274,81.3,41.198,109.536,8.535,0.0,0.0,0.3144306371370372
528,Germany,Western Europe,2014,6.984,10.835,0.938,71.22,0.899,0.088,0.474,0.925186455,82.3,40.643,108.846,8.466,0.0,0.0,0.308718556990095
529,Germany,Western Europe,2013,6.965,10.817,0.931,71.14,0.894,0.024,0.566,0.92798388,82.8,39.839,106.757,8.377,0.0,0.0,0.3147366677735467
530,Germany,Western Europe,2012,6.702,10.816,0.926,71.06,0.904,0.071,0.679,0.775621295,83.4,38.922,103.255,8.326,0.0,0.0,0.3105578889620795
531,Germany,Western Europe,2011,6.621,10.813,0.947,70.98,0.906,0.033,0.677,0.842218459,83.8,38.223,102.673,8.225,0.0,0.0,0.3066803152681674
532,Germany,Western Europe,2010,6.725,10.756,0.939,70.9,0.843,0.095,0.688,0.796834469,82.5,37.337,101.814,8.168,0.0,0.0,0.3025288045426659
533,Germany,Western Europe,2009,6.641,10.714,0.935,70.76,0.844,0.127,0.69,0.859902501,82.4,36.475,101.279,8.088,0.0,0.0,0.3047942766998245
534,Germany,Western Europe,2008,6.522,10.77,0.923,70.62,0.766,0.088,0.758,0.943830788,82.1,35.796,99.363,7.996,0.0,0.0,0.3090444365031223
535,Germany,Western Europe,2007,6.417,10.759,0.926,70.48,0.801,0.167,0.792,0.995823801,82.4,35.328,97.803,7.928,0.0,0.0,0.3114544732272608
538,Ghana,Sub-Saharan Africa,2016,4.514,8.46,0.647,56.4,0.751,0.09,0.894,-0.130928621,,1.224,20.392,0.135,0.0933565240224686,0.0488137117359076,0.4352087898470238
542,Ghana,Sub-Saharan Africa,2012,5.057,8.397,0.685,54.86,0.679,0.04,0.898,0.130694985,,0.926,,,0.0829765273370246,0.0382888224460688,0.4237320525523956
548,Greece,Southern Europe,2018,5.409,10.299,0.794,72.4,0.564,-0.335,0.86,0.165943772,42.0,61.611,36.632,12.508,0.00116361855237,0.0010638343905521,0.3289120526515418
549,Greece,Southern Europe,2017,5.148,10.278,0.753,72.2,0.438,-0.29,0.872,-0.073572554,42.1,61.016,35.914,12.402,0.00420238176998,0.0030833784477763,0.3435202107673153
550,Greece,Southern Europe,2016,5.303,10.261,0.803,72.0,0.482,-0.26,0.898,-0.121599182,42.0,61.371,35.089,12.303,0.0056228692166194,0.004180031463107,0.3495863990321262
551,Greece,Southern Europe,2015,5.623,10.259,0.835,71.8,0.532,-0.272,0.824,-0.230252355,42.5,59.099,34.534,12.308,0.0078148655126191,0.0058469968290386,0.3600025954019999
552,Greece,Southern Europe,2014,4.756,10.257,0.832,71.74,0.369,-0.288,0.93,-0.140445963,42.4,58.829,34.836,12.654,0.0081798183922983,0.0063374152658023,0.3580950553073035
553,Greece,Southern Europe,2013,4.72,10.243,0.687,71.68,0.426,-0.272,0.941,-0.171341717,42.4,58.396,35.533,12.745,0.0032078892864868,0.0017160601717836,0.3612736056728677
554,Greece,Southern Europe,2012,5.096,10.268,0.812,71.62,0.373,-0.305,0.959,-0.217248693,44.5,58.227,36.082,12.959,0.0062571238069495,0.0036681153627026,0.3625100078377923
555,Greece,Southern Europe,2011,5.372,10.339,0.852,71.56,0.528,-0.316,0.941,-0.098695189,44.7,58.289,37.411,13.193,0.0085019942980568,0.0076539631844424,0.348494120310329
556,Greece,Southern Europe,2010,5.84,10.433,0.868,71.5,0.484,-0.303,0.954,-0.127206877,44.8,58.033,37.139,13.287,0.0071707348466999,0.0064769874454298,0.3410332817378102
557,Greece,Southern Europe,2009,6.039,10.491,0.793,71.3,0.443,-0.293,0.959,-0.208124295,49.3,58.185,36.12,13.363,0.0053271156235342,0.005114047899693,0.3361905743954608
558,Greece,Southern Europe,2007,6.647,10.543,0.808,70.9,0.575,-0.19,0.845,0.523507833,48.8,56.085,34.469,13.009,0.0040794341682017,0.0038106616590612,0.3395357553237585
563,Guatemala,Latin America and Caribbean,2014,6.536,8.98,0.834,63.54,0.843,0.108,0.804,-0.655563533,6.2,,9.56,,0.0270462272485311,0.0122460267723886,0.4827858949121326
571,Guinea,Sub-Saharan Africa,2018,5.252,7.823,0.63,54.4,0.731,0.092,0.778,-0.88408637,,2.22,5.731,0.058,0.0308760512766688,0.0104162871947868,0.2959195300100971
577,Guinea,Sub-Saharan Africa,2012,3.652,7.603,0.542,50.44,0.646,0.001,0.794,-1.287012458,,,,,0.0662942180671191,0.026474102913545,0.3372970464882602
586,Haiti,Latin America and Caribbean,2012,4.413,7.437,0.749,41.42,0.482,0.289,0.717,-0.788092673,,,,,0.1010894194316587,0.0478427360311876,0.4110377373169419
587,Haiti,Latin America and Caribbean,2012,4.413,7.437,0.749,41.42,0.482,0.289,0.717,-0.788092673,,,,,0.3173841187354162,0.215844835761852,0.6078680597635651
591,Honduras,Latin America and Caribbean,2018,5.908,8.643,0.827,67.2,0.872,0.099,0.804,-0.530797541,,,7.134,,0.0509894574650824,0.0254873908875418,0.4893778449405987
592,Honduras,Latin America and Caribbean,2017,6.02,8.624,0.843,67.0,0.898,0.072,0.783,-0.564918101,6.4,3.026,7.155,0.32,0.0497230066338483,0.0250069178026849,0.4944552648326352
593,Honduras,Latin America and Caribbean,2016,5.648,8.593,0.774,66.8,0.85,0.08,0.793,-0.433312118,6.4,5.862,7.177,,0.0549952005548258,0.0290256095827528,0.4981186016046447
594,Honduras,Latin America and Caribbean,2015,4.845,8.572,0.772,66.6,0.534,-0.097,0.848,-0.468914419,6.6,,6.496,,0.0426800392291821,0.0202403261128776,0.4924989297389206
595,Honduras,Latin America and Caribbean,2014,5.056,8.552,0.79,66.38,0.696,0.015,0.834,-0.534083962,6.3,,6.639,,0.0426606368468375,0.020197423392577,0.4987858626473279
596,Honduras,Latin America and Caribbean,2013,4.713,8.54,0.792,66.16,0.698,-0.027,0.868,-0.438611597,6.5,,6.859,,0.0521985688137495,0.0263865213624645,0.4995975176896486
597,Honduras,Latin America and Caribbean,2012,4.602,8.53,0.779,65.94,0.7,-0.003,0.871,-0.350115597,6.2,,,,0.0678461638850365,0.0378157544180249,0.5337070984419767
598,Honduras,Latin America and Caribbean,2011,4.961,8.508,0.766,65.72,0.783,0.095,0.884,-0.390435368,6.2,,,,0.0554798276354472,0.0307745833567601,0.5255978559313808
599,Honduras,Latin America and Caribbean,2010,5.866,8.49,0.803,65.5,0.646,0.105,0.82,-0.496909589,,2.904,8.462,,0.0473462808018939,0.0233774328174268,0.5308706587764769
600,Honduras,Latin America and Caribbean,2009,6.033,8.474,0.824,65.26,0.661,0.119,0.857,-0.308192104,,,,,0.0423949452839257,0.0207536102135141,0.5128332278806622
601,Honduras,Latin America and Caribbean,2008,5.42,8.52,0.828,65.02,0.687,0.223,0.863,-0.527115524,,,,0.291,0.0603649589493141,0.0337545676335751,0.5549990703495049
602,Honduras,Latin America and Caribbean,2007,5.097,8.5,0.819,64.78,0.676,0.23,0.826,-0.437030196,,,,,0.0590810191271528,0.0312622603794678,0.5582030727204323
611,Hungary,Central and Eastern Europe,2018,5.936,10.344,0.941,67.6,0.693,-0.243,0.911,0.747175932,70.1,33.835,68.669,7.027,0.0013355133512343,0.0010611984160816,0.2961204436230077
612,Hungary,Central and Eastern Europe,2017,6.065,10.293,0.877,67.2,0.661,-0.139,0.886,0.80656302,70.2,33.245,67.627,6.731,0.0036958424202752,0.0028418075436263,0.305841235034746
613,Hungary,Central and Eastern Europe,2016,5.449,10.248,0.9,66.8,0.554,-0.187,0.924,0.654678643,70.0,32.109,66.006,6.198,0.0078239803964511,0.0056615657210425,0.3032761854890129
614,Hungary,Central and Eastern Europe,2015,5.344,10.223,0.859,66.4,0.558,-0.198,0.908,0.746297717,69.9,30.968,66.402,6.03,0.003305260879677,0.0023079883350489,0.3040823015152568
615,Hungary,Central and Eastern Europe,2014,5.181,10.183,0.845,66.24,0.494,-0.15,0.855,0.669904828,69.8,33.23,65.826,6.286,0.0045852304683906,0.0038582193997752,0.3091766108797996
616,Hungary,Central and Eastern Europe,2013,4.914,10.14,0.877,66.08,0.674,-0.113,0.912,0.796646118,70.4,32.086,65.955,6.027,0.00034333037141889524,0.0001063441698729216,0.3150410221015213
617,Hungary,Central and Eastern Europe,2012,4.683,10.117,0.906,65.92,0.569,-0.136,0.93,0.67579478,70.0,30.882,64.964,5.653,0.0019915420640331,0.0014940137616192,0.3080418661991231
618,Hungary,Central and Eastern Europe,2011,4.918,10.127,0.894,65.76,0.631,-0.089,0.94,0.743254066,71.9,29.639,63.96,5.261,0.0003667674831298629,0.00027231354815801886,0.291583422943667
619,Hungary,Central and Eastern Europe,2010,4.725,10.106,0.896,65.6,0.514,-0.145,0.983,0.685783744,71.8,28.724,63.922,5.264,0.00014776376705565372,7.602295344849539e-05,0.2944422587538693
620,Hungary,Central and Eastern Europe,2009,4.895,10.097,0.901,65.4,0.464,-0.125,0.915,0.536816299,71.4,30.25,63.925,4.916,0.0003068523088850325,0.00023546789372251516,0.2695963983619707
621,Hungary,Central and Eastern Europe,2007,4.954,10.153,0.931,65.0,0.538,-0.161,0.895,0.747096717,71.9,28.073,61.176,3.997,0.0,0.0,0.3115509137498109
622,Hungary,Central and Eastern Europe,2007,4.954,10.153,0.931,65.0,0.538,-0.161,0.895,0.747096717,71.9,28.073,61.176,3.997,0.0004235626607845209,0.0002924815091790106,0.2788223601336737
623,Iceland,Western Europe,2017,7.476,10.925,0.967,73.0,0.939,0.246,0.727,1.34830904,30.6,38.708,152.881,8.12,0.0,0.0,0.2613158023316
624,Iceland,Western Europe,2016,7.51,10.904,0.985,73.0,0.952,0.281,0.719,1.361623883,31.3,38.487,149.985,8.281,0.0,0.0,0.272411052732876
625,Iceland,Western Europe,2015,7.498,10.854,0.98,73.0,0.94,0.301,0.639,1.308164477,31.2,37.723,162.7,8.396,6.387546507070983e-05,1.1829670485931629e-05,0.2678797144859822
626,Iceland,Western Europe,2013,7.501,10.809,0.967,72.84,0.923,0.306,0.713,1.287133694,32.2,36.049,162.562,8.395,0.0003997525206197302,0.00033981394901136424,0.2540291490177191
627,Iceland,Western Europe,2012,7.591,10.777,0.979,72.76,0.905,0.241,0.759,1.245032072,32.5,35.576,159.47,8.411,0.000225299418566497,0.00015126983082803462,0.2676942466276851
628,Iceland,Western Europe,2008,6.888,10.861,0.977,72.32,0.885,0.272,0.708,1.215023875,39.1,36.387,156.626,9.474,0.0004795073666783889,0.0003796034191841818,0.3178927852223965
629,India,Southern Asia,2018,3.818,8.779,0.638,60.1,0.89,0.085,0.805,-0.987013161,,6.775,17.065,1.592,0.0215986932701906,0.0068659382608489,0.3458464304746205
630,India,Southern Asia,2018,3.818,8.779,0.638,60.1,0.89,0.085,0.805,-0.987013161,,6.775,17.065,1.592,0.0207362146763191,0.0061163593476281,0.3105335768920044
631,India,Southern Asia,2018,3.818,8.779,0.638,60.1,0.89,0.085,0.805,-0.987013161,,6.775,17.065,1.592,0.0232706801301257,0.0083190596511013,0.3621582736784415
632,India,Southern Asia,2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,-0.764801919,5.3,,20.838,1.855,0.0251358851810163,0.0078270179573038,0.3593947820087211
633,India,Southern Asia,2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,-0.764801919,5.3,,20.838,1.855,0.0262750406083097,0.0080948790442856,0.3127330268255796
634,India,Southern Asia,2017,4.046,8.73,0.607,59.7,0.886,-0.042,0.781,-0.764801919,5.3,,20.838,1.855,0.022884697071122,0.0072976734274275,0.3957888158736984
635,India,Southern Asia,2016,4.179,8.673,0.614,59.3,0.82,0.046,0.765,-0.953839839,4.8,,,1.477,0.0364411873814511,0.0115852830042547,0.347722232067603
636,India,Southern Asia,2016,4.179,8.673,0.614,59.3,0.82,0.046,0.765,-0.953839839,4.8,,,1.477,0.040324352654969,0.0129111067835872,0.3101152976622039
637,India,Southern Asia,2016,4.179,8.673,0.614,59.3,0.82,0.046,0.765,-0.953839839,4.8,,,1.477,0.0286217269046232,0.0089154953667234,0.3829256801417247
638,India,Southern Asia,2015,4.342,8.604,0.61,58.9,0.777,-0.005,0.776,-0.948493361,5.8,,,,0.0374825674023938,0.011796656040181,0.3470541202634148
639,India,Southern Asia,2015,4.342,8.604,0.61,58.9,0.777,-0.005,0.776,-0.948493361,5.8,,,,0.0442341190346682,0.0137852902399246,0.3126380520264424
640,India,Southern Asia,2015,4.342,8.604,0.61,58.9,0.777,-0.005,0.776,-0.948493361,5.8,,,,0.0236356761093593,0.0077181266760821,0.3787986289191205
644,India,Southern Asia,2011,4.635,8.387,0.553,57.7,0.838,-0.038,0.908,-1.32679534,6.3,,,0.937,0.0463668192394571,0.0141455589060593,0.3571258417914169
645,India,Southern Asia,2011,4.635,8.387,0.553,57.7,0.838,-0.038,0.908,-1.32679534,6.3,,,0.937,0.0542574391062815,0.0166450968859413,0.3112752237767183
646,India,Southern Asia,2011,4.635,8.387,0.553,57.7,0.838,-0.038,0.908,-1.32679534,6.3,,,0.937,0.029028446074087,0.0086532245942239,0.390144289976554
648,India,Southern Asia,2009,4.522,8.281,0.653,56.98,0.679,-0.026,0.895,-1.355547905,4.4,,,0.855,0.0748628636280815,0.0249203617751216,0.3538033809856228
649,India,Southern Asia,2009,4.522,8.281,0.653,56.98,0.679,-0.026,0.895,-1.355547905,4.4,,,0.855,0.08716539915825,0.0290879334889565,0.299503037254748
650,India,Southern Asia,2009,4.522,8.281,0.653,56.98,0.679,-0.026,0.895,-1.355547905,4.4,,,0.855,0.0469439471636251,0.0154626295659469,0.3934797367007694
653,Indonesia,Southeast Asia,2018,5.34,9.339,0.809,62.1,0.879,0.512,0.868,-0.545908093,,4.251,31.224,0.575,0.0081572298149498,0.0019132240839563,0.3841037729973978
654,Indonesia,Southeast Asia,2018,5.34,9.339,0.809,62.1,0.879,0.512,0.868,-0.545908093,,4.251,31.224,0.575,0.0110113971132616,0.0026058949703691,0.3244418790190355
655,Indonesia,Southeast Asia,2018,5.34,9.339,0.809,62.1,0.879,0.512,0.868,-0.545908093,,4.251,31.224,0.575,0.0058524865010932,0.0013538915616101,0.400540195185012
656,Indonesia,Southeast Asia,2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,-0.497903407,10.4,3.77,20.544,0.547,0.0103692998549362,0.0025590901121128,0.3878526298556852
657,Indonesia,Southeast Asia,2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,-0.497903407,10.4,3.77,20.544,0.547,0.0134667228823208,0.0033771486401127,0.3204544556812979
658,Indonesia,Southeast Asia,2017,5.098,9.3,0.796,61.9,0.865,0.488,0.9,-0.497903407,10.4,3.77,20.544,0.547,0.0077999104324282,0.0018804902210897,0.4068613113833036
659,Indonesia,Southeast Asia,2016,5.136,9.262,0.792,61.7,0.83,0.5,0.89,-0.372952431,9.9,,,,0.0121336176388574,0.0030324955200425,0.3930027807555727
660,Indonesia,Southeast Asia,2016,5.136,9.262,0.792,61.7,0.83,0.5,0.89,-0.372952431,9.9,,,,0.0164324399134255,0.004435220760332,0.3265532343289585
661,Indonesia,Southeast Asia,2016,5.136,9.262,0.792,61.7,0.83,0.5,0.89,-0.372952431,9.9,,,,0.0084700359658261,0.001837052174309,0.4103151529027797
662,Indonesia,Southeast Asia,2015,5.043,9.225,0.809,61.5,0.779,0.471,0.946,-0.615060687,9.8,2.73,12.955,0.492,0.0140467097213049,0.0036973757921175,0.4039736902308003
663,Indonesia,Southeast Asia,2015,5.043,9.225,0.809,61.5,0.779,0.471,0.946,-0.615060687,9.8,2.73,12.955,0.492,0.0175978608858539,0.0046799722079628,0.3341845392728119
664,Indonesia,Southeast Asia,2015,5.043,9.225,0.809,61.5,0.779,0.471,0.946,-0.615060687,9.8,2.73,12.955,0.492,0.0109369129675648,0.0028369012579054,0.427530636848319
665,Indonesia,Southeast Asia,2014,5.597,9.19,0.905,61.28,0.719,0.408,0.97,-0.416824043,9.4,,,,0.0145319310973723,0.0035816986964069,0.4017566702637454
666,Indonesia,Southeast Asia,2014,5.597,9.19,0.905,61.28,0.719,0.408,0.97,-0.416824043,9.4,,,,0.0192562059184079,0.0047723005569872,0.3191441181780534
667,Indonesia,Southeast Asia,2014,5.597,9.19,0.905,61.28,0.719,0.408,0.97,-0.416824043,9.4,,,,0.0102806671882681,0.0025103040566498,0.4276526182501441
668,Indonesia,Southeast Asia,2013,5.292,9.155,0.794,61.06,0.781,0.376,0.973,-0.519264638,9.9,,,,0.017584287767974,0.0044320425997938,0.4079118044089285
669,Indonesia,Southeast Asia,2013,5.292,9.155,0.794,61.06,0.781,0.376,0.973,-0.519264638,9.9,,,,0.0240626132212404,0.006153048604012,0.3204986246272495
670,Indonesia,Southeast Asia,2013,5.292,9.155,0.794,61.06,0.781,0.376,0.973,-0.519264638,9.9,,,,0.0115935044483408,0.0028405550869428,0.4310653512387525
671,Indonesia,Southeast Asia,2012,5.368,9.114,0.834,60.84,0.77,0.354,0.962,-0.593262792,8.3,1.992,,0.422,0.023378028337411,0.006082333779071,0.4045964096278749
672,Indonesia,Southeast Asia,2012,5.368,9.114,0.834,60.84,0.77,0.354,0.962,-0.593262792,8.3,1.992,,0.422,0.0323509339600988,0.0084838710995488,0.3298240144996739
673,Indonesia,Southeast Asia,2012,5.368,9.114,0.834,60.84,0.77,0.354,0.962,-0.593262792,8.3,1.992,,0.422,0.0148517030745851,0.0038003206624462,0.4248085435121485
674,Indonesia,Southeast Asia,2011,5.173,9.069,0.825,60.62,0.878,0.438,0.962,-0.770114183,6.2,,,,0.0285670609510778,0.0079512308280894,0.4045814940427041
675,Indonesia,Southeast Asia,2011,5.173,9.069,0.825,60.62,0.878,0.438,0.962,-0.770114183,6.2,,,,0.0402912401082349,0.0114483027395389,0.3409647161943949
676,Indonesia,Southeast Asia,2011,5.173,9.069,0.825,60.62,0.878,0.438,0.962,-0.770114183,6.2,,,,0.0171186358414965,0.0045364104518066,0.4221694512991363
677,Indonesia,Southeast Asia,2010,5.457,9.022,0.816,60.4,0.7,0.448,0.954,-0.853916168,5.7,1.383,,0.358,0.0350755053867358,0.0100700100760514,0.3720533739412657
678,Indonesia,Southeast Asia,2010,5.457,9.022,0.816,60.4,0.7,0.448,0.954,-0.853916168,5.7,1.383,,0.358,0.0506937373649811,0.0149684724407319,0.315333076568175
679,Indonesia,Southeast Asia,2010,5.457,9.022,0.816,60.4,0.7,0.448,0.954,-0.853916168,5.7,1.383,,0.358,0.019403454226328,0.0051546680006144,0.3820476746147535
680,Indonesia,Southeast Asia,2009,5.472,8.975,0.779,60.26,0.784,0.191,0.911,-0.751153648,5.9,1.433,,0.226,0.0429146801270492,0.0129639380646956,0.3599317218788148
681,Indonesia,Southeast Asia,2009,5.472,8.975,0.779,60.26,0.784,0.191,0.911,-0.751153648,5.9,1.433,,0.226,0.0608906774604289,0.0188157884086863,0.2949984795046805
682,Indonesia,Southeast Asia,2009,5.472,8.975,0.779,60.26,0.784,0.191,0.911,-0.751153648,5.9,1.433,,0.226,0.0243050190532186,0.0069058067946031,0.372020314370632
683,Indonesia,Southeast Asia,2008,4.815,8.943,0.675,60.12,0.596,0.164,0.968,-1.056791544,,,,,0.0534176052753313,0.0168492383827195,0.3606025462926496
684,Indonesia,Southeast Asia,2008,4.815,8.943,0.675,60.12,0.596,0.164,0.968,-1.056791544,,,,,0.0775997881300675,0.0251932305731072,0.2998285303074424
685,Indonesia,Southeast Asia,2008,4.815,8.943,0.675,60.12,0.596,0.164,0.968,-1.056791544,,,,,0.0275694108317277,0.0079303937164362,0.367170390835231
686,Indonesia,Southeast Asia,2007,5.101,8.898,0.704,59.98,0.603,0.311,0.96,-1.198065758,,,,,0.0569436203904594,0.0185136290269236,0.3666468783672513
687,Indonesia,Southeast Asia,2007,5.101,8.898,0.704,59.98,0.603,0.311,0.96,-1.198065758,,,,,0.0842756101577549,0.027973675614317,0.3011493815683447
688,Indonesia,Southeast Asia,2007,5.101,8.898,0.704,59.98,0.603,0.311,0.96,-1.198065758,,,,,0.026776946671882,0.008072452179056,0.3707588540193188
689,Iran,Southern Asia,2018,4.278,9.169,0.674,66.0,0.603,-0.082,0.703,,,15.138,19.84,4.275,0.0016805275039872,0.0005391106444113874,0.4200330198476104
690,Iran,Southern Asia,2017,4.717,9.584,0.714,65.7,0.731,0.218,0.715,,15.6,10.781,25.095,3.119,0.0009292353168684944,0.00025750766263147787,0.4080294205745208
691,Iran,Southern Asia,2016,4.653,9.561,0.566,65.4,0.773,0.186,0.713,,17.0,,,,0.0011169779770128,0.0003184594810685249,0.3996519667192529
692,Iran,Southern Asia,2015,4.75,9.449,0.572,65.1,0.78,0.176,0.699,,15.0,11.061,18.144,3.202,0.0011725166984236,0.00030450149629975926,0.3947100425317789
693,Iran,Southern Asia,2014,4.682,9.476,0.644,64.86,0.767,0.241,0.64,,15.0,14.574,15.153,3.475,0.0013333907462218,0.0004155077640248288,0.3878329281544339
694,Iran,Southern Asia,2013,5.14,9.443,0.664,64.62,0.73,0.216,0.685,,15.0,,,,0.0005455380191260192,0.00017430500918197032,0.3735950783234441
705,Iraq,Middle East and North Africa,2012,4.66,9.246,0.73,59.12,0.315,-0.02,0.789,-1.934050202,13.0,,,,8.512210292035157e-05,1.7984726779005375e-05,0.2954185695660272
710,Ireland,Western Europe,2018,6.962,11.332,0.938,72.3,0.861,0.144,0.362,1.021112323,29.7,33.017,129.693,6.654,2.8968505798040903e-05,2.139994303490167e-05,0.3060292684647586
711,Ireland,Western Europe,2017,7.06,11.266,0.943,72.2,0.905,0.216,0.337,1.00243485,29.7,32.817,144.848,6.524,0.0020036102185422,0.0018330904949159,0.3135980370255202
712,Ireland,Western Europe,2016,7.041,11.199,0.958,72.1,0.875,0.174,0.399,0.847818851,29.6,32.185,116.576,6.253,0.0009274382513996006,0.0008203436293343517,0.3280759842839694
713,Ireland,Western Europe,2015,6.83,11.174,0.953,72.0,0.892,0.233,0.409,0.908455491,29.2,31.433,124.416,6.061,0.0026577318195351,0.0023463879890742,0.3182153975328732
714,Ireland,Western Europe,2014,7.018,10.959,0.968,71.9,0.922,0.264,0.406,1.052991152,25.7,30.351,122.723,5.967,0.0031831914376199,0.0029006012053146,0.3187645250891104
715,Ireland,Western Europe,2013,6.76,10.884,0.955,71.8,0.884,0.331,0.558,0.901075721,25.6,39.575,126.504,5.773,0.0051008819061157,0.0045630821740725,0.3348919006514453
